example_id,TARGET
13000,0.7946295818306137
13001,0.794629938975027
13002,0.7946300962197734
13003,0.7946300535648136
13004,0.7946298110101582
13005,0.7946293685558682
13006,0.7946287262020549
13007,0.7946278839488801
13008,0.7946268417965553
13009,0.7946255997453431
13010,0.7946241577955556
13011,0.7946225159475557
13012,0.7946206742017564
13013,0.7946186325586212
13014,0.7946163910186633
13015,0.7946139495824469
13016,0.7946113082505861
13017,0.7946084670237453
13018,0.7946054259026394
13019,0.7946021848880334
13020,0.7945987439807424
13021,0.7945951031816322
13022,0.7945912624916186
13023,0.794587221911668
13024,0.7945829814427965
13025,0.7945785410860712
13026,0.7945739008426088
13027,0.7945690607135769
13028,0.7945640207001929
13029,0.7945587808037249
13030,0.7945533410254909
13031,0.7945477013668594
13032,0.794541861829249
13033,0.7945358224141288
13034,0.7945295831230181
13035,0.7945231439574867
13036,0.794516504919154
13037,0.7945096660096905
13038,0.7945026272308165
13039,0.7944953885843028
13040,0.7944879500719702
13041,0.79448031169569
13042,0.7944724734573837
13043,0.7944644353590233
13044,0.7944561974026307
13045,0.7944477595902785
13046,0.7944391219240889
13047,0.7944302844062353
13048,0.7944212470389407
13049,0.7944120098244786
13050,0.7944025727651726
13051,0.7943929358633969
13052,0.7943830991215757
13053,0.7943730625421834
13054,0.7943628261277452
13055,0.794352389880836
13056,0.7943417538040811
13057,0.7943309179001564
13058,0.7943198821717875
13059,0.7943086466217509
13060,0.7942972112528728
13061,0.79428557606803
13062,0.7942737410701495
13063,0.7942617062622085
13064,0.7942494716472346
13065,0.7942370372283055
13066,0.7942244030085494
13067,0.7942115689911443
13068,0.794198535179319
13069,0.7941853015763524
13070,0.7941718681855734
13071,0.7941582350103614
13072,0.7941444020541459
13073,0.794130369320407
13074,0.7941161368126748
13075,0.7941017045345296
13076,0.7940870724896018
13077,0.7940722406815726
13078,0.7940572091141729
13079,0.7940419777911842
13080,0.7940265467164385
13081,0.794010915893817
13082,0.7939950853272523
13083,0.7939790550207267
13084,0.793962824978273
13085,0.7939463952039736
13086,0.7939297657019619
13087,0.7939129364764216
13088,0.7938959075315857
13089,0.7938786788717386
13090,0.7938612505012139
13091,0.7938436224243964
13092,0.7938257946457203
13093,0.7938077671696708
13094,0.7937895400007827
13095,0.7937711131436413
13096,0.7937524866028821
13097,0.7937336603831908
13098,0.7937146344893037
13099,0.7936954089260067
13100,0.7936759836981363
13101,0.7936563588105792
13102,0.7936365342682724
13103,0.7936165100762028
13104,0.7935962862394079
13105,0.7935758627629754
